Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate
running,2016-11-22 15:43:05,false,Chappaqua Running,5.41,579,39:23,--,--,0,163,180,7:17,5:57,151,326,1.35,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-21 16:10:50,false,Chappaqua Running,0.08,7,0:24.4,--,--,0,191,231,5:16,4:38,--,--,1.6,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-21 16:08:50,false,Chappaqua Running,0.08,7,0:24.8,--,--,0,190,214,5:11,4:37,49,--,1.63,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-21 16:06:30,false,Chappaqua Running,0.08,7,0:24.2,--,--,0,157,212,5:01,4:34,52,--,2.04,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-21 15:58:58,false,Chappaqua Running,0.08,7,0:25.6,--,--,0,156,207,5:28,4:50,47,--,1.89,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-21 15:56:58,false,Chappaqua Running,0.08,7,0:24.9,--,--,0,167,214,5:15,4:48,47,--,1.84,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-21 15:55:03,false,Chappaqua Running,0.08,8,0:27.5,--,--,0,173,208,5:29,4:29,49,--,1.7,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-21 15:48:27,false,Chappaqua Running,0.8,88,6:07.7,--,--,0,161,168,7:38,7:12,--,--,1.31,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-21 15:47:50,false,Running,0.09,8,0:28.4,--,--,0,174,200,5:20,4:11,--,--,1.74,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-21 15:45:41,false,Running,0.06,5,0:33.9,--,--,0,108,209,9:34,4:10,--,--,1.57,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-21 15:43:47,false,Running,0.08,7,0:27.3,--,--,0,163,200,5:46,4:11,--,--,1.71,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-17 15:27:36,false,Running,4.76,510,33:44,--,--,0,163,181,7:05,5:30,--,--,1.4,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-16 15:30:36,false,Chappaqua Running,3.86,411,28:06,--,--,0,160,177,7:17,6:46,--,--,1.38,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-15 15:33:56,false,Running,3.73,403,27:50,--,--,0,164,175,7:28,6:00,--,--,1.31,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-04 15:18:58,false,Chappaqua Running,2.3,246,18:23,--,--,0,165,177,7:59,5:22,123,111,1.22,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-03 16:01:52,false,Running,0.1,10,0:35.3,--,--,0,177,193,5:45,4:46,--,--,1.58,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-03 15:59:40,false,Running,0.11,10,0:35.5,--,--,0,173,200,5:28,4:36,--,--,1.7,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-03 15:57:29,false,Running,0.11,10,0:35.4,--,--,0,175,194,5:35,4:15,--,--,1.64,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-03 15:55:34,false,Running,0.11,11,0:35.5,--,--,0,183,197,5:17,4:32,--,--,1.67,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-03 15:31:34,false,Chappaqua Running,2.28,246,17:16,--,--,0,166,207,7:34,2:07,107,92,1.28,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-03 15:20:28,false,Running,0.74,79,5:20.7,--,--,0,167,183,7:15,4:27,--,--,1.33,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-02 15:34:15,false,Chappaqua Running,3.21,342,23:32,--,--,0,165,219,7:20,6:02,145,133,1.33,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-02 15:21:08,false,Chappaqua Running,0.67,71,4:48.2,--,--,0,166,236,7:11,5:15,20,20,1.35,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-01 16:03:23,false,Chappaqua Running,1.04,109,6:01.6,--,--,0,171,179,5:48,5:32,--,--,1.62,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-01 15:55:24,false,Chappaqua Running,1.02,107,6:04.3,--,--,0,161,170,5:56,5:32,--,--,1.69,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-01 15:47:25,false,Chappaqua Running,1.02,105,6:00.5,--,--,0,170,177,5:54,5:33,--,--,1.61,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-01 15:39:28,false,Chappaqua Running,1.02,107,6:01.4,--,--,0,169,176,5:55,5:37,--,--,1.6,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-31 15:38:15,false,Running,4.65,502,37:24,--,--,0,162,187,8:03,6:21,--,--,1.24,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-28 16:11:35,false,Chappaqua Running,0.7,79,5:11.8,--,--,0,166,172,7:28,1:32,21,19,1.3,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-28 16:01:50,false,Chappaqua Running,0.77,71,6:11.2,--,--,0,134,200,8:05,3:39,--,--,1.49,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-28 16:01:03,false,Chappaqua Running,0.13,11,0:35.2,--,--,0,138,200,4:28,3:51,--,--,2.61,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-28 15:35:39,false,Running,2.71,292,20:17,--,--,0,162,173,7:29,5:29,--,--,1.32,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-27 15:20:31,false,Mount Kisco Running,5.9,631,41:13,--,--,0,163,183,6:59,3:59,152,88,1.41,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-25 15:44:49,false,Running,5.12,553,43:53,--,--,0,151,221,8:34,4:33,--,--,1.24,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-24 16:11:30,false,Chappaqua Running,1.05,110,6:01.0,--,--,0,171,179,5:43,5:13,--,--,1.65,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-24 16:03:31,false,Chappaqua Running,1.02,106,6:10.0,--,--,0,159,172,6:04,5:29,--,--,1.67,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-24 15:55:32,false,Chappaqua Running,1.01,105,6:01.7,--,--,0,171,193,5:58,5:25,--,--,1.58,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-24 15:47:32,false,Chappaqua Running,1.01,105,6:01.7,--,--,0,163,178,5:59,5:10,--,--,1.65,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-24 15:39:37,false,Chappaqua Running,0.93,103,6:01.2,--,--,0,168,187,6:27,3:22,--,--,1.49,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-21 16:11:53,false,Chappaqua Running,0.98,106,7:29.5,--,--,0,162,170,7:38,7:22,--,--,1.3,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-21 16:07:37,false,Chappaqua Running,0.12,10,0:34.4,--,--,0,163,200,4:51,3:18,--,--,2.04,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-21 16:05:05,false,Chappaqua Running,0.12,10,0:35.9,--,--,0,161,197,5:10,4:39,--,--,1.94,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-21 16:02:33,false,Chappaqua Running,0.12,12,0:36.0,--,--,0,179,207,5:02,4:03,--,--,1.79,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-21 15:59:57,false,Chappaqua Running,0.12,11,0:37.1,--,--,0,163,191,5:08,4:40,--,--,1.92,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-21 15:57:26,false,Chappaqua Running,0.12,11,0:37.1,--,--,0,145,193,5:20,4:54,--,--,2.09,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-21 15:55:02,false,Chappaqua Running,0.12,12,0:37.4,--,--,0,142,194,5:12,4:41,--,--,2.18,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-21 15:44:17,false,Chappaqua Running,0.68,71,4:00.8,--,--,0,169,181,5:52,5:30,--,--,1.63,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-21 15:39:18,false,Chappaqua Running,0.67,70,4:00.7,--,--,0,167,214,5:58,5:29,--,--,1.61,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-21 15:34:18,false,Chappaqua Running,0.66,69,4:00.7,--,--,0,170,200,6:05,5:18,--,--,1.56,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-21 15:29:19,false,Chappaqua Running,0.66,68,4:00.5,--,--,0,170,176,6:07,5:42,--,--,1.55,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-20 15:50:53,false,Mount Kisco Running,0.45,51,3:44.8,--,--,0,159,163,8:19,6:10,65,18,1.22,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-20 15:36:02,false,Chappaqua Running,1.87,206,14:13,--,--,0,163,176,7:37,4:21,44,95,1.29,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-19 15:53:37,false,Chappaqua Running,5.94,649,46:57,--,--,0,161,171,7:54,0:29,--,137,1.26,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-17 15:37:35,false,Chappaqua Running,2.62,282,20:19,--,--,0,160,170,7:46,6:34,163,155,1.29,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-14 15:33:23,false,Chappaqua Running,3.01,323,21:55,--,--,0,163,178,7:17,4:38,36,20,1.35,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-07 16:16:38,false,Chappaqua Running,0.07,5,0:18.0,--,--,0,165,218,4:31,3:43,--,--,2.16,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-07 16:13:10,false,Chappaqua Running,0.06,4,0:14.6,--,--,0,112,234,4:00,3:19,--,--,3.6,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-07 15:42:05,false,Chappaqua Running,3.47,378,26:47,--,--,0,161,206,7:43,3:36,176,158,1.29,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-06 15:48:09,false,Chappaqua Running,5.19,559,38:55,--,--,0,164,230,7:30,3:33,360,354,1.31,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-05 16:09:13,false,Chappaqua Running,0.69,72,4:00.4,--,--,0,172,189,5:48,4:08,16,20,1.62,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-05 16:02:15,false,Chappaqua Running,0.69,73,4:00.4,--,--,0,171,200,5:51,4:00,19,18,1.61,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-05 15:55:16,false,Chappaqua Running,0.71,74,4:00.4,--,--,0,173,193,5:41,2:03,19,22,1.64,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-05 15:48:01,false,Chappaqua Running,0.73,78,4:01.5,--,--,0,171,187,5:31,5:03,--,--,1.7,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-10-05 15:41:01,false,Chappaqua Running,0.71,75,4:01.2,--,--,0,166,183,5:42,5:22,--,--,1.7,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-30 15:24:47,false,Running,4.27,463,32:26,--,--,0,164,184,7:36,5:30,--,--,1.29,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-29 14:06:23,false,Chappaqua Running,5,540,37:22,--,--,0,166,185,7:28,5:03,164,112,1.3,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-28 16:12:07,false,Chappaqua Running,0.7,74,4:00.7,--,--,0,176,200,5:44,3:44,23,20,1.6,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-28 16:05:09,false,Chappaqua Running,0.7,73,4:00.1,--,--,0,175,214,5:43,3:56,18,19,1.61,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-28 15:58:10,false,Chappaqua Running,0.72,75,4:00.5,--,--,0,177,225,5:36,3:48,19,20,1.63,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-28 15:51:10,false,Chappaqua Running,0.71,77,4:00.4,--,--,0,175,191,5:38,4:12,22,20,1.63,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-28 15:44:08,false,Chappaqua Running,0.73,79,4:01.7,--,--,0,173,185,5:29,4:59,--,--,1.7,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-28 15:37:07,false,Chappaqua Running,0.75,81,4:00.5,--,--,0,167,183,5:23,3:25,2,--,1.8,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-27 15:45:13,false,Chappaqua Running,7.59,820,59:19,--,--,0,164,180,7:49,5:38,503,503,1.26,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-26 16:05:51,false,Chappaqua Running,0.86,89,5:00.4,--,--,0,173,180,5:50,5:19,--,--,1.6,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-26 16:00:11,false,Chappaqua Running,0.86,91,5:01.3,--,--,0,171,180,5:50,5:12,--,--,1.62,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-26 15:54:29,false,Chappaqua Running,0.84,88,5:00.1,--,--,0,168,177,5:58,5:29,--,--,1.6,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-26 15:48:48,false,Chappaqua Running,0.84,88,5:00.8,--,--,0,168,175,5:59,5:34,--,--,1.6,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-26 15:43:08,false,Chappaqua Running,0.85,90,5:00.5,--,--,0,169,176,5:54,5:06,--,--,1.61,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-23 15:40:02,false,Chappaqua Running,4.01,436,31:15,--,--,0,161,169,7:48,5:30,340,399,1.28,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-22 15:50:27,false,Running,5.13,556,40:23,--,--,0,161,174,7:53,6:38,--,--,1.27,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-21 16:14:20,false,Chappaqua Running,0.69,74,4:00.5,--,--,0,174,200,5:50,3:44,27,25,1.59,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-21 16:07:21,false,Chappaqua Running,0.69,73,4:00.0,--,--,0,175,200,5:48,3:33,20,18,1.59,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-21 16:00:21,false,Chappaqua Running,0.69,76,4:00.4,--,--,0,171,190,5:50,2:42,27,24,1.61,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-21 15:53:18,false,Chappaqua Running,0.75,80,4:00.9,--,--,0,173,187,5:20,4:25,--,--,1.74,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-21 15:46:15,false,Running,0.72,78,4:00.5,--,--,0,173,187,5:34,5:10,--,--,1.67,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-20 15:56:07,false,Chappaqua Running,7.21,778,53:46,--,--,0,163,230,7:27,5:20,336,336,1.33,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-19 16:03:33,false,Chappaqua Running,0.86,91,5:00.4,--,--,0,166,176,5:47,4:55,--,--,1.67,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-19 15:57:54,false,Chappaqua Running,0.86,93,5:00.2,--,--,0,167,177,5:48,4:47,--,--,1.66,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-19 15:52:15,false,Chappaqua Running,0.86,92,5:00.5,--,--,0,167,176,5:49,4:50,--,--,1.65,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-19 15:46:36,false,Chappaqua Running,0.83,88,5:01.1,--,--,0,165,173,6:04,5:02,--,--,1.61,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-19 15:40:56,false,Chappaqua Running,0.84,89,5:00.5,--,--,0,170,187,5:59,5:29,--,--,1.58,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-16 16:15:57,false,Chappaqua Running,0.71,76,4:00.3,--,--,0,171,187,5:40,4:16,17,18,1.66,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-16 16:08:57,false,Chappaqua Running,0.71,75,4:00.6,--,--,0,174,200,5:40,5:06,16,17,1.64,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-16 16:01:58,false,Chappaqua Running,0.71,74,4:00.4,--,--,0,172,189,5:39,5:03,29,25,1.65,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-16 15:53:27,false,Chappaqua Running,0.76,81,4:00.5,--,--,0,176,192,5:17,4:09,--,--,1.73,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-16 15:46:26,false,Running,0.7,76,4:00.8,--,--,0,175,214,5:43,5:03,--,--,1.61,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-15 15:52:14,false,Chappaqua Running,5.22,564,39:37,--,--,0,162,174,7:35,5:16,309,308,1.31,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-15 15:35:58,false,Chappaqua Running,1.04,109,10:25,--,--,0,141,226,10:00,4:21,25,19,1.14,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-14 16:12:09,false,Chappaqua Running,0.68,73,4:01.0,--,--,0,165,176,5:53,5:00,--,--,1.65,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-14 16:07:30,false,Chappaqua Running,0.66,70,3:59.8,--,--,0,164,173,6:06,5:19,--,--,1.61,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-14 16:02:52,false,Chappaqua Running,0.72,73,4:00.4,--,--,0,165,175,5:33,5:19,--,--,1.76,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-14 15:58:16,false,Chappaqua Running,0.64,67,4:00.7,--,--,0,167,176,6:15,5:53,--,--,1.54,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-12 15:51:27,false,Chappaqua Running,4.32,459,35:33,--,--,0,158,166,8:13,5:18,169,153,1.24,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-12 15:36:29,false,Chappaqua Running,1.04,113,8:01.4,--,--,0,159,170,7:42,5:38,--,16,1.31,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-09 16:02:03,false,Chappaqua Running,0.67,70,4:00.3,--,--,0,168,176,5:58,5:36,--,--,1.61,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-09 15:57:20,false,Chappaqua Running,0.64,68,3:59.7,--,--,0,164,176,6:12,5:45,--,--,1.58,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-09 15:52:41,false,Chappaqua Running,0.66,69,4:00.5,--,--,0,165,176,6:02,5:42,--,--,1.61,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-09 15:47:59,false,Chappaqua Running,0.67,71,4:00.8,--,--,0,168,181,5:58,4:50,--,--,1.61,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-09 15:43:21,false,Chappaqua Running,0.65,68,4:00.8,--,--,0,167,175,6:09,3:29,--,--,1.57,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-09 15:23:17,false,Chappaqua Running,0.99,113,8:50.7,--,--,0,157,164,8:55,3:00,11,--,1.15,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-09-08 15:51:54,false,Chappaqua Running,5.08,555,38:21,--,--,0,159,173,7:33,3:27,355,340,1.34,0,0,--,--,--,--,0,--,--,--,--,--,--
